id,borough,bedrooms,bathrooms,summary,displayAddress,latitude,longitude,updateDate,price_amount,displaySize_sqft,property_sub_type
162332072,Barking and Dagenham,1,,Incentives available. Type 19a is a brand new; chain-free; & energy efficient apartment with an open plan living/kitchen/dining room; INTEGRATED APPLIANCES; balcony; double bedroom with fitted wardrobe. Plus; flooring is included.,Crossness Road; Barking; London; IG11 0TE,51.52157,0.10257,2026-03-29T10:50:49Z,260000,,Apartment
173834063,Barking and Dagenham,3,1.0,Carter & Willow offer for sale this extended circa 1151 sq ft 3-bedroom terraced house; ideally located within close proximity to Upney (District Line) station which allows direct access into the city.,Harrow Road; Barking,51.53423,0.09393,2026-03-28T16:12:07Z,450000,1151.0,Terraced
173833949,Barking and Dagenham,1,1.0,GUIDE PRICE £230;000 - £240;000. Carter & Willow offer for this beautifully presented circa 560 sq ft 1-bedroom top floor apartment which offers allocated parking; 9'1 x 5'11 balcony; 18'11 x 17'6 open plan fitted kitchen / living room; bathroom/WC.,Richard Moore Court; Rainham Road South; Dagenham;,51.54076,0.16504,2026-03-28T16:04:05Z,230000,560.0,Flat
173831552,Barking and Dagenham,2,1.0,Guide price £250;000 - £260;000 2-Bedroom Ground Floor Flat With Front & Rear Gardens – No Onward Chain Welcome to this charming and spacious two-bedroom ground floor flat; ideally suited for first-time buyers; downsizers; or investors. Uni...,Kingston Hill Avenue; Romford; RM6,51.58995,0.14067,2026-03-28T13:59:34Z,250000,,Flat
161438975,Barking and Dagenham,1,1.0,Stylish Two-Storey Home with Private Garden & Garage - Being sold with tenants in situ. *The sale includes the Freehold for 117A and 117B* Spread across two thoughtfully designed levels; this beautifully presented terraced home blends bespoke interiors with modern finishes; creating a space tha...,Salisbury Avenue; Barking; IG11,51.538676,0.087958,2026-03-28T10:15:32Z,280000,,Ground Maisonette
173814224,Barking and Dagenham,2,1.0,We are delighted to offer for sale this well presented 2/3 bed house in Green Lane. With off street parking; galley style kitchen; lounge; first floor bathroom; lots of storage; 2/3 bedrooms; rear garden and separate yard. Close to schools; shops and transport links. Great property - call today!,Green Lane; Dagenham; London; RM8,51.56131,0.12778,2026-03-27T19:16:40Z,450000,,End of Terrace
173814428,Barking and Dagenham,2,1.0,Maybury Estates are delighted to offer for sale this spacious modern apartment situated within the popular Runnel Court development in Barking; IG11 7GF. This well-presented two-bedroom apartment offers comfortable and convenient living in a well-connected location. The property...,Spring Place; Barking,51.530181,0.077909,2026-03-27T18:12:08Z,250000,732.0,Flat
173814395,Barking and Dagenham,2,2.0,Maybury Estates are pleased to offer for sale this TWO bedroom modern apartment located within the well-established Runnel Court development in Abbey Road Barking; IG11 7GF. This well-proportioned two-bedroom apartment offers comfortable living space in a convenient and well-connected lo...,Spring Place; Barking,51.530181,0.077909,2026-03-27T18:11:04Z,240000,603.0,House
172474415,Barking and Dagenham,3,1.0,GUIDE PRICE £400;000 - £425;000. Carter & Willow offer for sale this well-presented chain free 3-bedroom terrace house which is ideally located within close proximity to Becontree (District Line) Station which allows direct access into the city.,Rothwell Road; Dagenham,51.53504,0.12353,2026-03-27T17:49:04Z,400000,726.0,Terraced
170207348,Barking and Dagenham,3,2.0,GUIDE PRICE: £400;000 - £450;000 VIEW AND BUY THIS PROPERTY THROUGH COLUBRID AND GET £300.00 CASH BACK ON COMPLETION OF YOUR PURCHASE!! Chain-free three-bedroom terrace on Rothwell Road; just 0.4 miles from Becontree Station. Bright interiors; private garden and a prime commuter...,Rothwell Road; Dagenham,51.535385,0.124114,2026-03-27T17:19:06Z,400000,,Terraced
173797382,Barking and Dagenham,3,1.0,A three-bedroom semi-detached house - with off-street parking; 23ft garage; and approximately 45ft x 39ft rear garden - located within approximately 0.7 miles of Dagenham East Underground station..,MacDonald Avenue; Dagenham; RM10,51.553545,0.161759,2026-03-29T03:52:55Z,475000,,Semi-Detached
173610386,Barking and Dagenham,1,,**For Sale By Public Auction 22nd April 2026 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Fifteenth Floor One Bedroom Flat Subject to an Assured Shorthold Tenancy Producing £16;200 Per Annum Le...,Flat 83 Peverel House; Stour Road; Dagenham; Essex; RM10 7HZ,51.560298,0.15416,2026-03-27T14:48:25Z,135000,,Flat
172456748,Barking and Dagenham,2,2.0,Welcome to this stunning two-bedroom flat located in the desirable Frogley Park area of Barking. Built in 2023; this modern property offers a fresh and contemporary living experience; perfect for those seeking a stylish home in a vibrant community. Spanning an impressive 764 square feet;...,Frogley Park; Barking,51.522148,0.121776,2026-03-27T14:42:34Z,300000,765.0,Flat
172814846,Barking and Dagenham,3,1.0,GUIDE PRICE: £425;000 - £450;000. Carter & Willow offer for sale this well presented and extended 3-bedroom terraced house ideally located on Porters Avenue within close proximity to Becontree (District Line) Station which allows direct access into the city and Parsloes Park.,Porters Avenue; Dagenham,51.55059,0.12901,2026-03-27T13:58:57Z,425000,1022.0,Terraced
172491188,Barking and Dagenham,4,1.0,Guide Price £575;000-£600;000 Set behind a private driveway with parking for up to three cars; this attractive double-fronted four-bedroom home offers a spacious; well-balanced layout that fits modern family life. Inside; the rooms feel bright and comfortable; with multiple living ...,Gorseway; Romford; RM7,51.564743,0.182841,2026-03-27T13:53:15Z,575000,1429.0,Semi-Detached
173784962,Barking and Dagenham,4,2.0,Carter & Willow offer for sale this well presented circa 1229 sq ft 4 bedroom end of terrace house with an approx 42' x 27'1 private rear garden; approx 25' x 15' driveway with parking for multiple vehicles.,Winding Way; Dagenham,51.55686,0.12526,2026-03-28T15:12:18Z,550000,1229.0,End of Terrace
173775470,Barking and Dagenham,3,2.0,GUIDE PRICE £350;000 - £365;000. Carter & Willow offers for sale this beautifully presented 3-bedroom purpose built circa 1021 sq ft 3rd floor apartment with allocated secure underground parking and a 18' x 6'11 balcony. The property is ideally located in the popular Barking Riverside.,Breacher House; Handley Page Road; Barking,51.51951,0.10709,2026-03-27T12:25:33Z,350000,1201.0,Flat
173773631,Barking and Dagenham,2,1.0,GUIDE PRICE £375;000 - £400;000. Carter & Willow offer for sale this beautifully presented circa 938 sq ft 2-bedroom terraced house ideally located within a quiet cul-de-sac within walking distance of Becontree (District line) Station.,Rugby Road; Dagenham,51.54147,0.12613,2026-03-27T09:47:04Z,375000,938.0,Terraced
173772263,Barking and Dagenham,2,1.0,A super opportunity to stamp your own mark on this chain free 2 bedroom terrace house. With potential for loft conversion and off street parking; close to station; schools; parks and A13.,Burnham Road; Dagenham; RM9,51.535924,0.113615,2026-03-27T09:29:17Z,350000,,Terraced
173763899,Barking and Dagenham,4,2.0,Situated on a popular quiet cul-de-sac in Dagenham; this impressive newly refurbished four-bedroom Semi-detached bungalow has been thoughtfully extended to the rear and into the loft; offering generous and versatile accommodation-perfectly suited for growing families. The property enjoys a highl...,Purland Close; Dagenham; RM8,51.564528,0.144839,2026-03-26T21:41:02Z,560000,,Bungalow
173759636,Barking and Dagenham,3,2.0,One not be missed off your viewing list this weekend is this three bedroom end of terraced home located on a corner plot. The home has been extended and well presented throughout. Being conveniently located close to bus routes; local shops and schools. The home prospers from ample parking ...,Marston Avenue; Dagenham; Barking and Dagenham; RM10,51.55197,0.15201,2026-03-27T01:57:10Z,485000,,End of Terrace
173756891,Barking and Dagenham,2,1.0,Carter & Willow offer for sale this chain free 2-bedroom 2nd floor flat which offers allocated parking; a 7'4 x 7'3 separate fitted kitchen; 17'11 x 14'3 reception room; bathroom/WC and double glazing. Residents benefit from secure entry.,Shafter Road; Dagenham,51.54321,0.16371,2026-03-27T12:36:02Z,240000,551.0,Flat
173755676,Barking and Dagenham,3,,Substantial plot with scope to extend / build on! We are delighted to offer this large corner plot with substantial rear garden and potential to extend / develop. Located in the quiet and sought after turning of Fourth Avenue; the main dwelling is a good size 3 bedroom family home with.....,Fourth Avenue; Romford; RM7,51.5627,0.16997,2026-03-26T17:00:11Z,550000,,End of Terrace
166322273,Barking and Dagenham,4,2.0,*GUIDE PRICE £475;000 - £550;000* Manor Road gem—four beds; two baths; huge garden for BBQs or yoga; driveway parking. Dagenham East station and A13/M25 make commuting a breeze.,Manor Road; Dagenham,51.539833,0.173489,2026-03-26T16:47:16Z,475000,,Semi-Detached Bungalow
173755235,Barking and Dagenham,3,1.0,Carter & Willow offer for sale this well presented circa 992 sq ft 3 bedroom end of terrace house which offers an approx 22' x 19' private rear garden; 17'8 x 10'9 reception room; 15'3 x 12'8 separate fitted kitchen / diner; first floor bathroom/WC; double glazing and gas central heating (untested).,Inskip Road; Dagenham,51.56251,0.1313,2026-03-27T11:34:43Z,390000,992.0,End of Terrace
171213449,Barking and Dagenham,3,2.0,GUIDE PRICE £400;000 - £425;000. Carter & Willow offer for sale this chain free 3/2 bedroom terraced house which has been extended to the rear and is located close to Becontree Station (District line) which allows direct access into the city.,Sheppey Road; Dagenham,51.53957,0.12676,2026-03-25T14:04:09Z,400000,824.0,Terraced
173753495,Barking and Dagenham,1,1.0,Carter & Willow offer for sale this well presented 1-bedroom purpose-built 1st floor apartment which offers allocated (permit) parking; 15'9 x 8'10 open plan modern style fitted kitchen / reception room; 16'3 x 8'11 bedroom; bathroom/WC; gas central heating.,Cooke Street; Barking,51.53457,0.07967,2026-03-26T16:24:47Z,240000,431.0,Flat
173749574,Barking and Dagenham,3,1.0,EXTENDED.... NO CHAIN... Well maintained family house with new kitchen and shower room. Lounge and separate dining room; conservatory to rear leading to nice paved back garden. Three bedrooms to the first floor; block paved front drive with parking space.,Third Avenue; Dagenham,51.529792,0.160997,2026-03-26T15:33:06Z,375000,,Terraced
173749544,Barking and Dagenham,2,1.0,NO CHAIN!!! Spacious two DOUBLE bedroom EXTENDED family house with two receptions; good size kitchen and bathroom. Nice size back garden with outbuilding and off road parking. Guide Price £350;000-£375;000,Third Avenue; Dagenham,51.529514,0.16088,2026-03-26T15:32:06Z,350000,,Terraced
173746976,Barking and Dagenham,2,1.0,NO ONWARD CHAIN. A two bedroom terraced house - with front garden; approximately 60ft rear garden + two sheds - adjacent to Valence Park and within approximately 1.2 miles of Chadwell Heath train station.,Grafton Road; Dagenham; RM8,51.557033,0.139381,2026-03-28T11:35:39Z,375000,,Terraced
173745890,Barking and Dagenham,2,1.0,Guide price for a Home for Life Lifetime Lease for OVER 60s tailored to your personal circumstances and requirements. Your price may vary. OVER 60s could benefit from SAVINGS of up to 59% from the market value with a one-off payment for a Lifetime Lease on this property. £248;000 GUIDE PRIC...,Seagull Close; Barking; Essex,51.52332,0.10748,2026-03-27T14:32:36Z,248000,,Terraced
173745557,Barking and Dagenham,2,1.0,OPEN HOUSE SATURDAY 4TH APRIL 2026 - by appointment only. This terraced house has neutral decor and off street parking. There is a ground floor cloakroom and first floor family bathroom. The house has lots of storage space and patio doors leading onto the low maintenance rear garden. It is close ...,Seagull Close; Barking; Essex,51.52332,0.10748,2026-03-28T03:35:52Z,375000,,Terraced
173741759,Barking and Dagenham,3,2.0,PRICE GUIDE £400;000 TO £410;000. CALLING COMMUTERS; to this mid terraced home within reach of Becontree station; call now to view,Rowney Gardens; Dagenham,51.541844,0.118919,2026-03-27T21:57:37Z,400000,,Terraced
173735972,Barking and Dagenham,2,2.0,Guide price for a Home for Life Lifetime Lease for OVER 60s tailored to your personal circumstances and requirements. Your price may vary. OVER 60s could benefit from SAVINGS of up to 59% from the market value with a one-off payment for a Lifetime Lease on this property. £215;000 GUIDE PRIC...,Longbridge Road; Dagenham; Essex,51.5515,0.11289,2026-03-27T16:38:54Z,215000,,Ground Flat
173735780,Barking and Dagenham,2,2.0,OPEN HOUSE SATURDAY 4TH APRIL 2026 - by appointment only. This is a spacious ground floor apartment with allocated parking and a lift service to all floors. There is an open plan living area which will be ideal for entertaining family and friends. The apartment has a bathroom plus en-suite shower...,Longbridge Road; Dagenham; Essex,51.5515,0.11289,2026-03-29T03:35:28Z,325000,,Ground Flat
